Model number,sSpec number,Cores,Frequency,Turbo,L2 cache,L3 cache,TDP,Socket,I/O bus,Memory,Release date,Part number(s),Release price (USD),Turbo Boost all-core/2.0 (/max. 3.0),GPU model,GPU frequency,vteIntel processors,vteIntel processors.1,Turbo Boost all-core/2.0),FSB,Mult.,Voltage,Mult,Front side bus,Multiplier,Release price,L2 Cache,Turbo Boost all-core/max turbo,Turbo Boost all-core/max turbo 2.0/max turbo 3.0,Threads
Xeon E-2278GEL,SRGE2 (R0),8,2.0,3.9 GHz,8 × 256 KB,16 MB,35 W,LGA 1151,DMI 3.0,,2019-06-11,CM8068404311303,OEM,,HD Graphics P630,350–1200 MHz,,,,,,,,,,,,,,16
Xeon E-2176M,SR3YX (U0),6,2.7,14/15/15/16/16/17,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,2018-04-01,CL8068403359116,$450,,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,,12
Xeon E-2186M,SRCKQ (U0),6,2.9,14/15/16/18/19/19,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,2018-04-01,CL8068403359021,$623,,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,,12
Xeon E-2276M,SRFCK (R0),6,2.8,4.7 GHz,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,2019-05-01,CL8068404068806,$450,,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,,12
Xeon E-2286M,SRFCZ (R0),8,2.4,5.0 GHz,8 × 256 KB,16 MB,45 W,BGA 1440,DMI 3.0,,2019-05-01,CL8068404068710,$623,,UHD Graphics 630,350–1250 MHz,,,,,,,,,,,,,,16
Xeon E-2254ME,SRFEM (U0),4,2.6,3.8 GHz,4 × 256 KB,8 MB,45 W,BGA 1440,DMI 3.0,,2019-06-01,CL8068404175200,OEM,,UHD Graphics 630,350–1100 MHz,,,,,,,,,,,,,,8
Xeon E-2276ME,SRFEC (U0),6,2.8,4.5 GHz,6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,2019-06-01,CL8068404164700,OEM,,UHD Graphics 630,350–1150 MHz,,,,,,,,,,,,,,12
Xeon E-2254ML,SRFEJ (U0),4,1.7,3.5 GHz,4 × 256 KB,8 MB,25 W,BGA 1440,DMI 3.0,,2019-06-01,CL8068404165301,OEM,,UHD Graphics 630,350–1100 MHz,,,,,,,,,,,,,,8
Xeon E-2276ML,SRFEG (U0),6,2.0,4.2 GHz,6 × 256 KB,12 MB,25 W,BGA 1440,DMI 3.0,,2019-06-01,CL8068404165100,OEM,,UHD Graphics 630,350–1150 MHz,,,,,,,,,,,,,,12
Xeon W-1250,SRH48 (G1),6,3.3,4.7 GHz,6 × 256 KB,12 MB,80 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104379507 BX80701W1250,$255,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,12
Xeon W-1270,SRH96 (Q0),8,3.4,5.0 GHz,8 × 256 KB,16 MB,80 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104380910 BX80701W1270,$362,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,16
Xeon W-1290,SRH94 (Q0),10,3.2,5.1 GHz (5.2 w/ TVB),10 × 256 KB,20 MB,80 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104379111 BX80701W1290,$494,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,20
Xeon W-1250E,SRH6L (G1),6,3.5,4.7 GHz,6 × 256 KB,12 MB,80 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104425005,$260,,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,,12
Xeon W-1270E,SRJGE (Q0),8,3.4,4.8 GHz,8 × 256 KB,16 MB,80 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104420607,$367,,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,,16
Xeon W-1290E,SRJFB (Q0),10,3.5,4.8 GHz,10 × 256 KB,20 MB,95 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104420510,$500,,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,,20
Xeon W-1250P,SRH7H (Q0),6,4.1,4.8 GHz,6 × 256 KB,12 MB,125 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104381006 BX80701W1250P,$311,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,12
Xeon W-1270P,SRH95 (Q0),8,3.8,5.1 GHz,8 × 256 KB,16 MB,125 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104380809 BX80701W1270P,$428,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,16
Xeon W-1290P,SRH93 (Q0),10,3.7,5.2 GHz (5.3 w/ TVB),10 × 256 KB,20 MB,125 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104378412,$539,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,20
Xeon W-1290T,SRH97 (Q0),10,1.9,4.7 GHz,10 × 256 KB,20 MB,35 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104429007,$494,,HD Graphics P630,350-1200 MHz,,,,,,,,,,,,,,20
Xeon W-1250TE,SRH6M (G1),6,2.4,3.8 GHz,6 × 256 KB,12 MB,35 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104440305,$260,,HD Graphics 630,350-1150 MHz,,,,,,,,,,,,,,12
Xeon W-1270TE,SRJGF (Q0),8,2.0,4.4 GHz,8 × 256 KB,16 MB,35 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104420706,$367,,HD Graphics 630,350-1150 MHz,,,,,,,,,,,,,,16
Xeon W-1290TE,SRJFH (Q0),10,1.8,4.5 GHz,10 × 256 KB,20 MB,35 W,LGA 1200,DMI 3.0,,2020-05-01,CM8070104440205,$500,,HD Graphics 630,350-1200 MHz,,,,,,,,,,,,,,20
Xeon W-10855M,SRH8M (R1),6,2.8,4.9 GHz (5.1 w/ TVB),6 × 256 KB,12 MB,45 W,BGA 1440,DMI 3.0,,2020-05-01,CL8070104398912,$450,,UHD Graphics 630,350–1200 MHz,,,,,,,,,,,,,,12
Xeon W-10885M,SRH8L (R1),8,2.4,5.1 GHz (5.3 w/ TVB),8 × 256 KB,16 MB,45 W,BGA 1440,DMI 3.0,,2020-05-01,CL8070104398811,$623,,UHD Graphics 630,350–1250 MHz,,,,,,,,,,,,,,16
Xeon 3040,SL9VT (L2) SLAC2 (L2),2.0,1.87,,2 MB,,65 W,LGA 775,,,2007-01-21,HH80557KH0362M,$183,,,,,,,1066 MT/s,7×,0.85–1.5 V,,,,,,,,
Xeon 3050,SL9VS (L2) SLABZ (L2),2.0,2.13,,2 MB,,65 W,LGA 775,,,2007-01-21,HH80557KH0462M,$224,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,,
Xeon 3040,SL9TW (B2),2.0,1.87,,2 MB,,65 W,LGA 775,,,2006-09-26,HH80557KH0362M,$183,,,,,,,1066 MT/s,7×,0.85–1.5 V,,,,,,,,
Xeon 3050,SL9TY (B2),2.0,2.13,,2 MB,,65 W,LGA 775,,,2006-09-26,HH80557KH0462M,$224,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,,
Xeon 3060,SL9TZ (B2) SL9ZH (B2) SLACD (B2),2.0,2.4,,4 MB,,65 W,LGA 775,,,2006-09-26,HH80557KH0564M,$316,,,,,,,1066 MT/s,9×,0.85–1.5 V,,,,,,,,
Xeon 3065,SLAA9 (G0),2.0,2.33,,4 MB,,65 W,LGA 775,,,2007-10-07,HH80557KJ0534MG,$163,,,,,,,1333 MT/s,7×,0.85–1.5 V,,,,,,,,
Xeon 3070,SL9U2 (B2) SL9ZC (B2) SLACC (B2),2.0,2.67,,4 MB,,65 W,LGA 775,,,2006-09-26,HH80557KH0674M,$530,,,,,,,1066 MT/s,10×,0.85–1.5 V,,,,,,,,
Xeon 3075[1],SLAA3 (G0),2.0,2.67,,4 MB,,65 W,LGA 775,,,2007-10-07,HH80557KJ0674MG,$183,,,,,,,1333 MT/s,8×,0.85–1.5 V,,,,,,,,
Xeon 3085[2],SLAA2 (G0),2.0,3.0,,4 MB,,65 W,LGA 775,,,2007-10-07,HH80557KJ0804MG,$266,,,,,,,1333 MT/s,9×,0.85–1.5 V,,,,,,,,
Xeon L3014,SLBB2 (R0),1.0,2.4,,3 MB,,30 W,LGA 771,,,2008-02-27,AT80588JH0563M,OEM,,,,,,,1066 MT/s,9×,0.85–1.3625 V,,,,,,,,
Xeon E3113,SLBAX (E0),2.0,3.0,,6 MB,,65 W,LGA 771,,,2008-09-08,AT80588QJ0806M,OEM,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,,
Xeon E3110,SLAPM (C0) SLB9C (E0),2.0,3.0,,6 MB,,65 W,LGA 775,,,2008-01-08,EU80570KJ0806M AT80570KJ0806M,$188,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,,
Xeon E3120,SLB9D (E0),2.0,3.17,,6 MB,,65 W,LGA 775,,,2008-08-10,AT80570KJ0876M,$188,,,,,,,1333 MT/s,9.5×,0.85–1.3625 V,,,,,,,,
Xeon L3110,SLGP9 (E0),2.0,3.0,,6 MB,,45 W,LGA 775,,,2009-02-22,AT80570JJ0806M,$224,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,,
Xeon 5110,SL9RZ (B2) SLABR (B2) SLAGE (G0),2.0,1.6,,4 MB,,65 W,LGA 771,,,2006-06-26,HH80556KH0254M BX805565110A BX805565110P,$209,,,,,,,1066 MT/s,6×,1.0–1.5 V,,,,,,,,
Xeon 5120,SL9RY (B2) SLABQ (B2) SLAGD (G0),2.0,1.87,,4 MB,,65 W,LGA 771,,,2006-06-26,HH80556KH0364M BX805565120A BX805565120P,$256,,,,,,,1066 MT/s,7×,1.0–1.5 V,,,,,,,,
Xeon 5130,SL9RX (B2) SLABP (B2) SLAGC (G0),2.0,2.0,,4 MB,,65 W,LGA 771,,,2006-06-26,HH80556KJ0414M BX805565130A BX805565130P,$316,,,,,,,1333 MT/s,6×,1.0–1.5 V,,,,,,,,
Xeon 5140,SL9RW (B2) SLABN (B2) SLAGB (G0),2.0,2.33,,4 MB,,65 W,LGA 771,,,2006-06-26,HH80556KJ0534M BX805565140A BX805565140P,$455,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,,
Xeon 5150,SL9RU (B2) SLABM (B2) SLAGA (G0),2.0,2.67,,4 MB,,65 W,LGA 771,,,2006-06-26,HH80556KJ0674M BX805565150A BX805565150P,$690,,,,,,,1333 MT/s,8×,1.0–1.5 V,,,,,,,,
Xeon 5160,SL9RT (B2) SLABS (B2) SLAG9 (G0),2.0,3.0,,4 MB,,80 W,LGA 771,,,2006-06-26,HH80556KJ0804M BX805565160A BX805565160P,$851,,,,,,,1333 MT/s,9×,1.0–1.5 V,,,,,,,,
Xeon LV 5113,SLABL (G0) SLAG7,2.0,1.6,,4 MB,,40 W,LGA 771,,,2006-12-04,HH80556JG0254M,OEM,,,,,,,800 MT/s,8×,1.15–1.25 V,,,,,,,,
Xeon LV 5128,SL9XA (B2) SLAG6 (G0),2.0,1.87,,4 MB,,40 W,LGA 771,,,2006-12-04,HH80556JH0364M,$412,,,,,,,1066 MT/s,7×,1.0V–1.5V V,,,,,,,,
Xeon LV 5133,SLABJ (B2) SLAG5 (G0),2.0,2.2,,4 MB,,40 W,LGA 771,,,2006-06-26,HH80556JG0494M,OEM,,,,,,,800 MT/s,11×,1.0–1.5 V,,,,,,,,
Xeon LV 5138,SL9RN (B2) SLAG3 (G0),2.0,2.13,,4 MB,,35 W,LGA 771,,,2006-12-04,HH80556JH0464M,$617,,,,,,,1066 MT/s,8×,1.0–1.5 V,,,,,,,,
Xeon LV 5148,SL9RR (B2) SLABH (B2) SLAG4 (G0),2.0,2.33,,4 MB,,40 W,LGA 771,,,2006-09-27,HH80556JJ0534M BX805565148A BX805565148P,$519,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,,
Xeon E5205,SLANG (C0) SLBAU (E0),2.0,1.87,,6 MB,,65 W,LGA 771,,,2007-11-11,EU80573KH0366M AT80573KH0366M,$177,,,,,,,1066 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon E5220,SLANF (C0) SLBAT (E0),2.0,2.33,,6 MB,,65 W,LGA 771,,,2008-02-27,EU80573KJ0536M AT80573QJ0536M,OEM,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon E5240,SLAND (C0) SLBAW (E0),2.0,3.0,,6 MB,,65 W,LGA 771,,,2008-02-27,EU80573KJ0806M AT80573QJ0806M,OEM,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,,
Xeon X5260,SLANJ (C0) SLBAS (E0),2.0,3.33,,6 MB,,80 W,LGA 771,,,2007-11-11,EU80573KJ0936M AT80573KJ0936M,$851,,,,,,,1333 MT/s,10×,0.85–1.35 V,,,,,,,,
Xeon X5270,SLBAQ (E0),2.0,3.5,,6 MB,,80 W,LGA 771,,,2008-09-08,AT80573KJ1006M,$1172,,,,,,,1333 MT/s,10.5×,0.85–1.35 V,,,,,,,,
Xeon X5272,SLANH (C0) SLBAR (E0),2.0,3.4,,6 MB,,80 W,LGA 771,,,2007-11-11,EU80573KL0966M AT80573KL0966M,$1172,,,,,,,1600 MT/s,8.5×,0.85–1.35 V,,,,,,,,
Xeon L5215,SLBB3 (E0),2.0,1.87,,6 MB,,20 W,LGA 771,,,2008-09-08,AT80573JH0366M,OEM,,,,,,,1066 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon L5238,SLANM (C0) SLBAZ (E0),2.0,2.67,,6 MB,,35 W,LGA 771,,,2008-02-27,EU80573JJ0676M AT80573JJ0676MT,OEM,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon L5240,SLAS3 (C0) SLBAY (E0),2.0,3.0,,6 MB,,40 W,LGA 771,,,2008-02-27,EU80573JJ0806M AT80573JJ0806M,$669,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,,
Xeon L5248,SLBAV (E0),2.0,3.0,,6 MB,,55 W,LGA 771,,,2008-09-08,AT80573KJ0806MT,OEM,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,,
Xeon X3210,SL9UQ (B3) SLACU (G0),4.0,2.13,,2 × 4 MB,,105 W 100 W,LGA 775,,,2007-01-07,HH80562QH0468M BX80562X3210,$690,,,,,,,1066 MT/s,8×,0.85–1.5 V,,,,,,,,
Xeon X3220,SL9UP (B3) SLACT (G0),4.0,2.4,,2 × 4 MB,,105 W 100 W,LGA 775,,,2007-01-07,HH80562QH0568M BX80562X3220,$851,,,,,,,1066 MT/s,9×,0.85–1.5 V,,,,,,,,
Xeon X3230,SLACS (G0),4.0,2.67,,2 × 4 MB,,100 W,LGA 775,,,2007-07-27,HH80562QH0678M BX80562X3230,$530,,,,,,,1066 MT/s,10×,0.85–1.5 V,,,,,,,,
Xeon X3320,SLAWF (M1) SLB69 (R0),4.0,2.5,,2 × 3 MB,,95 W,LGA 775,,,2008-01-07,EU80580KJ0606M AT80580KJ0606M,$266,,,,,,,1333 MT/s,7.5×,0.85–1.3625 V,,,,,,,,
Xeon X3330,SLB6C (R0),4.0,2.67,,2 × 3 MB,,95 W,LGA 775,,,2008-08-10,AT80580KJ0676M,$266,,,,,,,1333 MT/s,8×,0.85–1.3625 V,,,,,,,,
Xeon X3350,SLAN7 (C0) SLAX2 (C1) SLB8Y (E0),4.0,2.67,,2 × 6 MB,,95 W,LGA 775,,,2008-01-07,EU80569KJ067N AT80569KJ067N BX80569X3350,$316,,,,,,,1333 MT/s,8×,0.85–1.3625 V,,,,,,,,
Xeon X3360,SLAN5 (C0) SLAWZ (C1) SLB8X (E0),4.0,2.83,,2 × 6 MB,,95 W,LGA 775,,,2008-01-07,EU80569KJ073N AT80569KJ073N BX80569X3360,$530,,,,,,,1333 MT/s,8.5×,0.85–1.3625 V,,,,,,,,
Xeon X3370,SLB8Z (E0),4.0,3.0,,2 × 6 MB,,95 W,LGA 775,,,2008-08-10,AT80569KJ080N,$530,,,,,,,1333 MT/s,9×,0.85–1.3625 V,,,,,,,,
Xeon X3380,SLGPG (E0),4.0,3.17,,2 × 6 MB,,95 W,LGA 775,,,2009-02-22,AT80569KJ087N,$530,,,,,,,1333 MT/s,9.5×,0.85–1.3625 V,,,,,,,,
Xeon L3360,SLGPF (E0),4.0,2.83,,2 × 6 MB,,65 W,LGA 775,,,2009-02-22,AT80569JJ073N,$369,,,,,,,1333 MT/s,8.5×,0.85–1.3625 V,,,,,,,,
Xeon X3323,SLASE (C1) SLBC5 (E0),4.0,2.5,,2 × 3 MB,,80 W,LGA 771,,,2008-03-01,EU80584KJ060J AT80584KJ060J,OEM,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,,
Xeon X3353,SLASD (C1) SLBC4 (E0),4.0,2.67,,2 × 6 MB,,80 W,LGA 771,,,2008-03-01,EU80584KJ067N AT80584KJ067N,OEM,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon X3363,SLASC (C1) SLBC3 (E0),4.0,2.83,,2 × 6 MB,,80 W,LGA 771,,,2008-03-01,EU80584KJ073N AT80584KJ073N,OEM,,,,,,,1333 MT/s,8.5×,0.85–1.35 V,,,,,,,,
Xeon E5310,SL9XR (B3) SLACB (B3) SLAEM (G0),4.0,1.6,,2 × 4 MB,,80 W,LGA 771,,,2006-11-14,HH80563QH0258M,$455,,,,,,,1066 MT/s,6×,1.0–1.5 V,,,,,,,,
Xeon E5320,SL9MV (B3) SLAC8 (B3) SLAEL (G0),4.0,1.87,,2 × 4 MB,,80 W,LGA 771,,,2006-11-14,HH80563QH0368M,$690,,,,,,,1066 MT/s,7×,1.0–1.5 V,,,,,,,,
Xeon E5330[5],SL9MW,4.0,2.13,,2 × 4 MB,,80 W,LGA 771,,,,HH80563QH0468M,OEM,,,,,,,1066 MT/s,8×,1.0–1.5 V,,,,,,,,
Xeon E5335,SL9YK (B3) SLAC7 (B3) SLAEK (G0),4.0,2.0,,2 × 4 MB,,80 W,LGA 771,,,2006-11-14,HH80563QJ0418M,$690,,,,,,,1333 MT/s,6×,1.0–1.5 V,,,,,,,,
Xeon E5340[6],SL9MY,4.0,2.4,,2 × 4 MB,,80 W,LGA 771,,,,HH80563KH0568M,OEM,,,,,,,1066 MT/s,9×,1.0–1.5 V,,,,,,,,
Xeon E5345,SL9YL (B3) SLAC5 (B3) SLAEJ (G0),4.0,2.33,,2 × 4 MB,,80 W,LGA 771,,,2006-11-14,HH80563QJ0538M,$851,,,,,,,1333 MT/s,7×,1.0–1.5 V,,,,,,,,
"Xeon E5350, X5350[7]",SL9N2,4.0,2.67,,2 × 4 MB,,"80,120 W",LGA 771,,,,HH80563KH0678M,OEM,,,,,,,1066 MT/s,10×,1.0–1.5 V,,,,,,,,
Xeon X5355,SL9YM (B3) SLAC4 (B3) SLAEG (G0),4.0,2.67,,2 × 4 MB,,120 W,LGA 771,,,2006-11-14,HH80563KJ0678M,$1172,,,,,,,1333 MT/s,8×,1.0–1.5 V,,,,,,,,
Xeon X5365,SLAC3 (B3) SLAED (G0),4.0,3.0,,2 × 4 MB,,"150,120 W",LGA 771,,,2007-03-12,HH80563KJ0808MP,$1350,,,,,,,1333 MT/s,9×,1.0–1.5 V,,,,,,,,
Xeon L5310,SL9MT (B3) SLACA (B3) SLAEQ (G0),4.0,1.6,,2 × 4 MB,,50 W,LGA 771,,,2007-03-12,HH80563JH0258M,$455,,,,,,,1066 MT/s,6×,1.1–1.25 V,,,,,,,,
Xeon L5318,SLAJE (G0),4.0,1.6,,2 × 4 MB,,40 W,LGA 771,,,2007-08-13,HH80563JH0258MT,OEM,,,,,,,1066 MT/s,6×,0.9–1.25 V,,,,,,,,
Xeon L5320,SLA4Q (B3) SLAC9 (B3) SLAEP (G0),4.0,1.87,,2 × 4 MB,,50 W,LGA 771,,,2007-03-12,HH80563JH0368M,$519,,,,,,,1066 MT/s,7×,1.1–1.25 V,,,,,,,,
Xeon L5335,SLAEN (G0),4.0,2.0,,2 × 4 MB,,50 W,LGA 771,,,2007-08-13,HH80563JJ0418MP,$380,,,,,,,1333 MT/s,6×,1.1–1.25 V,,,,,,,,
Xeon E5405,SLAP2 (C0) SLBBP (E0),4.0,2.0,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ041N AT80574KJ041N,$209,,,,,,,1333 MT/s,6×,0.85–1.35 V,,,,,,,,
Xeon E5410,SLANW (C0) SLBBC (E0),4.0,2.33,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ053N AT80574KJ053N,$256,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon E5420,SLANV (C0) SLBBL (E0),4.0,2.5,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ060N AT80574KJ060N,$316,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,,
Xeon E5430,SLANU (C0) SLBBK (E0),4.0,2.67,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ067N AT80574KJ067N,$455,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon E5440,SLANS (C0) SLBBJ (E0),4.0,2.83,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ073N AT80574KJ073N,$690,,,,,,,1333 MT/s,8.5×,0.85–1.35 V,,,,,,,,
Xeon E5450,SLANQ (C0) SLBBM (E0),4.0,3.0,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KJ080N AT80574KJ080N,$915,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,,
Xeon X5450,SLASB (C0) SLBBE (E0),4.0,3.0,,2 × 6 MB,,120 W,LGA 771,,,2007-11-11,EU80574KJ080NT AT80574KJ080NT,$851,,,,,,,1333 MT/s,9×,0.85–1.35 V,,,,,,,,
Xeon X5460,SLANP (C0) SLBBA (E0),4.0,3.17,,2 × 6 MB,,120 W,LGA 771,,,2007-11-11,EU80574KJ087N AT80574KJ087NT,$1172,,,,,,,1333 MT/s,9.5×,0.85–1.35 V,,,,,,,,
Xeon E5462,SLANT (C0) SLBBN (E0),4.0,2.8,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KL072N AT80574KL072,$797,,,,,,,1600 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon X5470,SLBBF (E0),4.0,3.33,,2 × 6 MB,,120 W,LGA 771,,,2008-09-08,AT80574KJ093N,$1386,,,,,,,1333 MT/s,10×,0.85–1.35 V,,,,,,,,
Xeon E5472,SLANR (C0) SLBBH (E0),4.0,3.0,,2 × 6 MB,,80 W,LGA 771,,,2007-11-11,EU80574KL080N AT80574KL080,$1022,,,,,,,1600 MT/s,7.5×,0.85–1.35 V,,,,,,,,
Xeon X5472,SLASA (C0) SLBBB (E0),4.0,3.0,,2 × 6 MB,,120 W,LGA 771,,,2007-11-11,EU80574KL080NT AT80574KL080N,$958,,,,,,,1600 MT/s,7.5×,0.85–1.35 V,,,,,,,,
Xeon X5482,SLANZ (C0) SLBBG (E0),4.0,3.2,,2 × 6 MB,,150 W,LGA 771,,,2007-11-11,EU80574KL088 AT80574KL088N,$1279,,,,,,,1600 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon X5492,SLBBD (E0),4.0,3.4,,2 × 6 MB,,150 W,LGA 771,,,2008-09-08,AT80574KL096N,$1493,,,,,,,1600 MT/s,8.5×,0.85–1.35 V,,,,,,,,
Xeon L5408,SLAP5 (C0) SLBBT (E0),4.0,2.13,,2 × 6 MB,,40 W,LGA 771,,,2008-02-27,EU80574JH046N AT80574JH046NT,OEM,,,,,,,1066 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon L5410,SLAP4 (C0) SLBBS (E0),4.0,2.33,,2 × 6 MB,,50 W,LGA 771,,,2008-03-25,EU80574JJ053N AT80574JJ053N,$320,,,,,,,1333 MT/s,7×,0.85–1.35 V,,,,,,,,
Xeon L5420,SLARP (C0) SLBBR (E0),4.0,2.5,,2 × 6 MB,,50 W,LGA 771,,,2008-03-25,EU80574JJ060N AT80574JJ060N,$380,,,,,,,1333 MT/s,7.5×,0.85–1.35 V,,,,,,,,
Xeon L5430,SLBBQ (E0),4.0,2.67,,2 × 6 MB,,50 W,LGA 771,,,2008-09-08,AT80574JJ067N,$562,,,,,,,1333 MT/s,8×,0.85–1.35 V,,,,,,,,
Xeon E7210,SLA6D (G0),2.0,2.4,,2 × 4 MB,,80 W,Socket 604,,,2007-09-06,LF80564QH0568M,$856,,,,,,,1066 MT/s,9×,1.2–1.325 V,,,,,,,,
Xeon E7220,SLA6C (G0),2.0,2.93,,2 × 4 MB,,80 W,Socket 604,,,2007-09-06,LF80564QH0778M,$1177,,,,,,,1066 MT/s,11×,1.2–1.325 V,,,,,,,,
Xeon E7310,SLA6A (G0),4.0,1.6,,2 × 2 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0254M,$856,,,,,,,1066 MT/s,6×,1.2–1.35 V,,,,,,,,
Xeon E7320,SLA69 (G0),4.0,2.13,,2 × 2 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0464M,$1177,,,,,,,1066 MT/s,8×,1.2–1.35 V,,,,,,,,
Xeon E7330,SLA77 (G0),4.0,2.4,,2 × 3 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0566M,$1391,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,,
Xeon E7340,SLA68 (G0),4.0,2.4,,2 × 4 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0568M,$1980,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,,
Xeon X7350,SLA67 (G0),4.0,2.93,,2 × 4 MB,,130 W,Socket 604,,,2007-09-06,LF80565KH0778M,$2301,,,,,,,1066 MT/s,11×,1.2–1.35 V,,,,,,,,
Xeon L7345,SLA6B (G0),4.0,1.87,,2 × 4 MB,,50 W,Socket 604,,,2007-09-06,LF80565JH0368M,$2301,,,,,,,1066 MT/s,7×,1.10–1.25 V,,,,,,,,
Xeon E7310,SLA6A (G0),4.0,1.6,,2 × 2 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0254M,$856,,,,,,,1066 MT/s,6×,1.2–1.35 V,,,,,,,,
Xeon E7320,SLA69 (G0),4.0,2.13,,2 × 2 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0464M,$1177,,,,,,,1066 MT/s,8×,1.2–1.35 V,,,,,,,,
Xeon E7330,SLA77 (G0),4.0,2.4,,2 × 3 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0566M,$1391,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,,
Xeon E7340,SLA68 (G0),4.0,2.4,,2 × 4 MB,,80 W,Socket 604,,,2007-09-06,LF80565QH0568M,$1980,,,,,,,1066 MT/s,9×,1.2–1.35 V,,,,,,,,
Xeon X7350,SLA67 (G0),4.0,2.93,,2 × 4 MB,,130 W,Socket 604,,,2007-09-06,LF80565KH0778M,$2301,,,,,,,1066 MT/s,11×,1.2–1.35 V,,,,,,,,
Xeon L7345,SLA6B (G0),4.0,1.87,,2 × 4 MB,,50 W,Socket 604,,,2007-09-06,LF80565JH0368M,$2301,,,,,,,1066 MT/s,7×,1.10–1.25 V,,,,,,,,
Xeon E7420,SLG9G (A1),,2.133,,2× 3 MB,8 MB,90 W,Socket 604,,,2008-09-15,AD80583QH0468M,$1177,,,,,,,1066 MT/s,,0.9–1.45 V,8×,,,,,,,
